Time,AE,EC,M,O
0.303955224,59543.42537,-7.05E-06,0.059157975,1
0.803823529,56484.22059,-5.39E-06,0.05727259,1
1.307761194,57737.9403,-4.51E-06,0.059398849,1
1.804552239,58789.41045,-3.98E-06,0.061677036,1
2.303481481,58563.85185,-3.58E-06,0.067568139,1
2.801832061,60922.40458,-3.33E-06,0.069870505,1
3.303037037,54076.95556,-3.08E-06,0.067499509,1
3.803851852,59160.07407,-2.90E-06,0.069385899,1
4.306029412,56339.48529,-2.76E-06,0.067417346,1
4.80641791,60175.30597,-2.62E-06,0.06921408,1
5.288803419,55973.4188,-2.42E-06,0.05435259,1
5.8033,56912.38,-2.22E-06,0.040694458,1
6.300784314,57730.67647,-2.14E-06,0.042027994,1
6.803431373,54611.06863,-2.07E-06,0.039197142,1
7.303564356,54672.69307,-2.00E-06,0.042745199,1
7.803069307,55921.34653,-1.97E-06,0.039459621,1
8.305,56133.28431,-1.91E-06,0.041717694,1
8.808137255,59432.91176,-1.87E-06,0.04166832,1
9.308514851,52191.38614,-1.83E-06,0.046693427,1
9.808514851,58713.83168,-1.79E-06,0.046046523,1
10.30544554,54035.53465,-1.77E-06,0.038878325,1
10.80316832,57636.55446,-1.73E-06,0.043078731,1
11.30323529,55339.14706,-1.70E-06,0.037807938,1
11.8029703,57998.16832,-1.67E-06,0.040448646,1
12.30158416,57163.85149,-1.66E-06,0.040343552,1
12.8054902,55326.39216,-1.63E-06,0.03826317,1
13.30554455,55036.55446,-1.60E-06,0.041551473,1
13.80316832,44878.05941,-1.60E-06,0.030429679,1
14.30544554,45575.54455,-1.58E-06,0.037998091,1
14.80366337,47282.48515,-1.56E-06,0.039396755,1
15.30294118,43753.47059,-1.54E-06,0.038824238,1
15.80366337,49213.80198,-1.51E-06,0.043831087,1
16.30372549,43517.70588,-1.51E-06,0.03784231,1
16.80617647,49618.33333,-1.49E-06,0.044368651,1
17.30623762,43997.05941,-1.47E-06,0.038546105,1
17.80539216,50126.58824,-1.47E-06,0.040579967,1
18.30623762,44863.23762,-1.46E-06,0.041958487,1
18.80568627,48020.31373,-1.45E-06,0.037091543,1
19.3031,44329.64,-1.42E-06,0.043974217,1
19.80127451,45405.02941,-1.42E-06,0.03699244,1
20.30362745,49197.70588,-1.40E-06,0.042346208,1
20.80686275,47418.37255,-1.40E-06,0.040165131,1
21.30613861,47998.12871,-1.39E-06,0.038145055,1
21.80455446,47273.84158,-1.38E-06,0.043771084,1
22.30392157,45587.67647,-1.37E-06,0.036198323,1
22.8039604,51574.50495,-1.36E-06,0.043736848,1
23.30460784,42956.27451,-1.36E-06,0.038271911,1
23.80386139,50827.20792,-1.35E-06,0.040071573,1
24.30470588,43863.01961,-1.34E-06,0.042445547,1
24.80465347,48045.24752,-1.33E-06,0.03654372,1
25.30460784,46220.14706,-1.33E-06,0.044293645,1
25.8054,45188.56,-1.32E-06,0.036728434,1
26.30227723,48654.63366,-1.31E-06,0.042161279,1
26.8027451,47556.9902,-1.30E-06,0.040528703,1
27.30490196,46572.4902,-1.30E-06,0.037741318,1
27.80524752,46922.73267,-1.30E-06,0.044148396,1
28.3042,44731.23,-1.28E-06,0.035876627,1
28.80284314,49602.06863,-1.28E-06,0.04384798,1
29.30346535,45100.9505,-1.28E-06,0.038430395,1
29.8027451,50145.88235,-1.27E-06,0.039925585,1
30.30376238,43269.61386,-1.26E-06,0.042765836,1
30.80362745,47112.53922,-1.26E-06,0.036041224,1
31.30568627,45198.61765,-1.25E-06,0.044592133,1
31.80931373,45366.02941,-1.20E-06,0.036295653,1
32.3057,48873.01,-1.19E-06,0.042093133,1
32.80401961,48418.10784,-1.19E-06,0.040611387,1
33.3039604,47657.80198,-1.20E-06,0.037330908,1
33.80217822,46087.9703,-1.18E-06,0.044294286,1
34.30176471,45035.09804,-1.18E-06,0.03554961,1
